
 	ATG	ATM	ATP	AVA	BOT	CEA	COR	CRU	FLA	FLU	GOI	GRE	GUA	INT	PAL	PRU	SAN	SPA	VAS	VIT
Atlético-GO	—	2–3	1–2	2–2	0–2	1–1	3–1	2–1	0–1	2–1	1–3	0–0	1–1	2–2	3–0	3–0	1–2	1–1	2–0	4–1
Atlético-MG	3–2	—	3–1	2–0	0–2	0–1	2–1	0–1	4–1	1–3	3–1	1–2	3–1	1–2	1–2	1–0	2–2	2–3	2–1	2–3
Atlético-PR	2–1	2–1	—	1–0	3–2	2–1	1–1	0–2	1–0	2–2	2–1	1–1	2–2	1–0	1–0	2–1	2–0	1–1	0–0	1–0
Avaí	3–0	0–0	0–1	—	0–0	5–0	3–2	1–2	2–2	0–3	4–1	0–3	1–0	0–1	4–2	6–1	3–2	0–0	2–0	0–0
Botafogo	3–2	3–0	1–1	1–0	—	1–0	2–2	2–2	1–1	1–1	3–0	2–2	1–1	1–2	0–0	3–1	3–3	2–0	1–1	1–0
Ceará	0–0	0–0	1–1	2–0	2–2	—	0–0	1–0	2–2	1–0	1–1	2–1	2–0	1–0	0–0	2–2	2–1	2–0	0–2	1–0
Corinthians	3–4	1–0	2–1	4–0	1–1	2–2	—	1–0	1–0	1–0	5–1	0–1	3–1	2–0	1–0	3–0	4–2	3–0	2–0	2–1
Cruzeiro	3–0	3–4	0–0	2–2	1–0	2–0	1–0	—	1–0	1–0	1–0	2–2	4–2	1–0	2–1	0–0	0–0	0–2	3–1	0–1
Flamengo	2–0	0–0	0–1	1–1	1–0	1–0	1–1	1–2	—	3–3	1–2	1–1	2–1	3–0	1–3	3–1	0–0	1–1	0–0	2–2
Fluminense	1–0	5–1	3–1	1–0	0–0	3–1	1–2	1–0	2–1	—	1–1	2–0	1–0	3–0	1–1	1–1	0–3	2–2	1–0	2–1
Goiás	1–3	1–3	0–2	1–0	4–1	0–0	1–1	0–1	1–1	0–3	—	0–2	3–1	2–3	1–1	1–2	1–4	2–1	0–0	1–0
Grêmio	2–0	2–1	3–1	3–0	3–0	5–1	1–2	2–1	2–2	1–2	2–0	—	1–0	2–2	1–2	4–0	1–2	4–2	1–1	1–1
Guarani	0–1	0–0	1–0	4–1	1–1	1–1	0–0	2–2	2–1	2–1	1–0	0–3	—	0–3	0–0	1–0	0–0	0–0	1–0	1–1
Internacional	1–1	1–0	4–1	2–3	1–0	2–1	3–2	1–2	1–0	0–0	0–0	0–0	3–0	—	1–1	2–0	1–1	0–2	1–0	1–1
Palmeiras	0–3	0–2	2–0	4–1	2–2	1–1	1–1	2–3	0–1	1–2	3–2	4–2	1–0	2–0	—	0–0	2–1	0–2	0–0	1–0
Prudente	1–0	4–0	0–1	1–1	0–1	1–1	2–2	0–2	1–2	1–1	4–1	2–0	4–2	0–3	0–1	—	1–2	2–3	1–2	0–0
Santos	4–2	2–0	2–0	2–1	0–1	1–1	2–3	4–1	0–0	0–1	2–0	0–0	3–1	1–0	1–1	2–3	—	1–0	4–0	1–1
São Paulo	2–1	4–0	2–1	1–2	1–2	2–1	0–2	2–2	2–0	1–4	0–3	3–1	2–1	1–3	1–0	1–1	4–3	—	0–0	2–0
Vasco da Gama	2–0	1–1	3–1	1–1	2–2	2–0	2–0	1–1	1–1	2–2	3–2	3–3	0–1	3–2	0–0	2–1	3–1	1–1	—	1–0
Vitória	0–0	4–3	1–0	3–0	1–3	0–0	1–1	0–1	1–1	1–2	2–2	0–3	1–1	0–0	1–1	2–0	4–2	3–2	4–2	—
